OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_any_id,nearest_facility_any_name,nearest_facility_any_distance_km,nearest_facility_any_distance_miles,count_any_within_1km,count_any_within_5km,count_any_within_10km,count_any_within_15km,count_any_within_25km,count_any_within_1mi,count_any_within_3mi,count_any_within_5mi,count_any_within_10mi,count_any_within_15mi,nearest_facility_otp_id,nearest_facility_otp_name,nearest_facility_otp_distance_km,nearest_facility_otp_distance_miles,count_otp_within_1km,count_otp_within_5km,count_otp_within_10km,count_otp_within_15km,count_otp_within_25km,count_otp_within_1mi,count_otp_within_3mi,count_otp_within_5mi,count_otp_within_10mi,count_otp_within_15mi,nearest_facility_mat_id,nearest_facility_mat_name,nearest_facility_mat_distance_km,nearest_facility_mat_distance_miles,count_mat_within_1km,count_mat_within_5km,count_mat_within_10km,count_mat_within_15km,count_mat_within_25km,count_mat_within_1mi,count_mat_within_3mi,count_mat_within_5mi,count_mat_within_10mi,count_mat_within_15mi,nearest_facility_residential_id,nearest_facility_residential_name,nearest_facility_residential_distance_km,nearest_facility_residential_distance_miles,count_residential_within_1km,count_residential_within_5km,count_residential_within_10km,count_residential_within_15km,count_residential_within_25km,count_residential_within_1mi,count_residential_within_3mi,count_residential_within_5mi,count_residential_within_10mi,count_residential_within_15mi,nearest_facility_outpatient_id,nearest_facility_outpatient_name,nearest_facility_outpatient_distance_km,nearest_facility_outpatient_distance_miles,count_outpatient_within_1km,count_outpatient_within_5km,count_outpatient_within_10km,count_outpatient_within_15km,count_outpatient_within_25km,count_outpatient_within_1mi,count_outpatient_within_3mi,count_outpatient_within_5mi,count_outpatient_within_10mi,count_outpatient_within_15mi,nearest_facility_iop_id,nearest_facility_iop_name,nearest_facility_iop_distance_km,nearest_facility_iop_distance_miles,count_iop_within_1km,count_iop_within_5km,count_iop_within_10km,count_iop_within_15km,count_iop_within_25km,count_iop_within_1mi,count_iop_within_3mi,count_iop_within_5mi,count_iop_within_10mi,count_iop_within_15mi,nearest_facility_withdrawal_mgmt_id,nearest_facility_withdrawal_mgmt_name,nearest_facility_withdrawal_mgmt_distance_km,nearest_facility_withdrawal_mgmt_distance_miles,count_withdrawal_mgmt_within_1km,count_withdrawal_mgmt_within_5km,count_withdrawal_mgmt_within_10km,count_withdrawal_mgmt_within_15km,count_withdrawal_mgmt_within_25km,count_withdrawal_mgmt_within_1mi,count_withdrawal_mgmt_within_3mi,count_withdrawal_mgmt_within_5mi,count_withdrawal_mgmt_within_10mi,count_withdrawal_mgmt_within_15mi,nearest_facility_co_occurring_id,nearest_facility_co_occurring_name,nearest_facility_co_occurring_distance_km,nearest_facility_co_occurring_distance_miles,count_co_occurring_within_1km,count_co_occurring_within_5km,count_co_occurring_within_10km,count_co_occurring_within_15km,count_co_occurring_within_25km,count_co_occurring_within_1mi,count_co_occurring_within_3mi,count_co_occurring_within_5mi,count_co_occurring_within_10mi,count_co_occurring_within_15mi,nearest_facility_men_id,nearest_facility_men_name,nearest_facility_men_distance_km,nearest_facility_men_distance_miles,count_men_within_1km,count_men_within_5km,count_men_within_10km,count_men_within_15km,count_men_within_25km,count_men_within_1mi,count_men_within_3mi,count_men_within_5mi,count_men_within_10mi,count_men_within_15mi,nearest_facility_women_id,nearest_facility_women_name,nearest_facility_women_distance_km,nearest_facility_women_distance_miles,count_women_within_1km,count_women_within_5km,count_women_within_10km,count_women_within_15km,count_women_within_25km,count_women_within_1mi,count_women_within_3mi,count_women_within_5mi,count_women_within_10mi,count_women_within_15mi,nearest_facility_youth_id,nearest_facility_youth_name,nearest_facility_youth_distance_km,nearest_facility_youth_distance_miles,count_youth_within_1km,count_youth_within_5km,count_youth_within_10km,count_youth_within_15km,count_youth_within_25km,count_youth_within_1mi,count_youth_within_3mi,count_youth_within_5mi,count_youth_within_10mi,count_youth_within_15mi
4992,101110,1011.10,12295621.353339376,15083.854287367758,34.25947853591936,-118.29299910773922,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.542,4.065,0,0,2,26,218,0,0,2,30,174,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.412,6.469,0,0,0,6,22,0,0,0,8,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.412,6.469,0,0,0,4,33,0,0,0,5,28,130,"CRI-HELP, INC.",12.088,7.511,0,0,0,6,116,0,0,0,6,86,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.412,6.469,0,0,0,14,148,0,0,0,16,118,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.542,4.065,0,0,2,6,52,0,0,2,8,40,130,"CRI-HELP, INC.",12.088,7.511,0,0,0,4,30,0,0,0,4,22,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.542,4.065,0,0,1,4,31,0,0,1,4,25,130,"CRI-HELP, INC.",12.088,7.511,0,0,0,4,92,0,0,0,4,68,130,"CRI-HELP, INC.",12.088,7.511,0,0,0,6,75,0,0,0,6,52,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.542,4.065,0,0,1,1,13,0,0,1,1,9
4993,101122,1011.22,28457743.575427715,31671.455843553864,34.26772617143315,-118.29015868135495,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.598,4.1,0,0,2,22,176,0,0,2,30,144,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.992,6.83,0,0,0,4,22,0,0,0,8,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.992,6.83,0,0,0,3,29,0,0,0,5,28,257,SAN FERNANDO RECOVERY CENTER,12.853,7.987,0,0,0,6,88,0,0,0,6,66,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.992,6.83,0,0,0,12,118,0,0,0,16,96,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.598,4.1,0,0,2,4,42,0,0,2,8,34,130,"CRI-HELP, INC.",12.984,8.068,0,0,0,4,24,0,0,0,4,22,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.598,4.1,0,0,1,4,26,0,0,1,4,23,257,SAN FERNANDO RECOVERY CENTER,12.853,7.987,0,0,0,4,70,0,0,0,4,50,130,"CRI-HELP, INC.",12.984,8.068,0,0,0,5,54,0,0,0,6,38,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.598,4.1,0,0,1,1,10,0,0,1,1,8
4994,101220,1012.20,7522092.633087869,12698.783810231038,34.2516131395811,-118.28164497009206,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.812,4.854,0,0,2,26,214,0,0,2,46,206,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",11.163,6.937,0,0,0,6,20,0,0,0,8,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",11.163,6.937,0,0,0,5,30,0,0,0,9,29,130,"CRI-HELP, INC.",12.086,7.51,0,0,0,8,114,0,0,0,22,114,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",11.163,6.937,0,0,0,16,150,0,0,0,32,148,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.812,4.854,0,0,2,4,46,0,0,2,8,42,130,"CRI-HELP, INC.",12.086,7.51,0,0,0,6,24,0,0,0,10,22,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.812,4.854,0,0,1,4,28,0,0,1,6,27,130,"CRI-HELP, INC.",12.086,7.51,0,0,0,6,90,0,0,0,20,90,130,"CRI-HELP, INC.",12.086,7.51,0,0,0,7,72,0,0,0,10,71,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.812,4.854,0,0,1,1,11,0,0,1,1,11
4995,101221,1012.21,3811999.6702340813,9161.710543244892,34.25433386989916,-118.29258890417314,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.765,4.203,0,0,2,28,218,0,0,2,34,208,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.27,6.382,0,0,0,6,22,0,0,0,10,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.27,6.382,0,0,0,4,33,0,0,0,7,30,130,"CRI-HELP, INC.",11.658,7.244,0,0,0,6,116,0,0,0,8,114,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.27,6.382,0,0,0,14,148,0,0,0,20,148,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.765,4.203,0,0,2,8,52,0,0,2,8,44,130,"CRI-HELP, INC.",11.658,7.244,0,0,0,4,30,0,0,0,6,24,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.765,4.203,0,0,1,4,31,0,0,1,4,28,130,"CRI-HELP, INC.",11.658,7.244,0,0,0,4,92,0,0,0,6,90,130,"CRI-HELP, INC.",11.658,7.244,0,0,0,6,75,0,0,0,8,72,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.765,4.203,0,0,1,1,13,0,0,1,1,11
4996,101222,1012.22,3191370.8544584266,9980.600461083694,34.25135679129439,-118.28853834468164,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.234,4.495,0,0,2,26,220,0,0,2,34,210,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.541,6.55,0,0,0,6,22,0,0,0,8,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.541,6.55,0,0,0,4,33,0,0,0,7,30,130,"CRI-HELP, INC.",11.641,7.233,0,0,0,6,116,0,0,0,10,114,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",10.541,6.55,0,0,0,14,150,0,0,0,20,148,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.234,4.495,0,0,2,6,52,0,0,2,8,44,130,"CRI-HELP, INC.",11.641,7.233,0,0,0,4,30,0,0,0,8,24,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.234,4.495,0,0,1,4,31,0,0,1,4,28,130,"CRI-HELP, INC.",11.641,7.233,0,0,0,4,92,0,0,0,8,90,130,"CRI-HELP, INC.",11.641,7.233,0,0,0,6,75,0,0,0,8,72,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.234,4.495,0,0,1,1,13,0,0,1,1,11
4997,101300,1013.00,27773766.076139838,29384.86060157467,34.24878260613529,-118.27101118325328,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",8.838,5.492,0,0,2,36,210,0,0,0,44,200,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",12.052,7.489,0,0,0,6,20,0,0,0,8,18,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",12.052,7.489,0,0,0,8,29,0,0,0,9,27,216,DIDI HIRSCH PSYCHIATRIC SERVICE,12.375,7.689,0,0,0,20,114,0,0,0,22,114,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",12.052,7.489,0,0,0,28,150,0,0,0,34,146,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",8.838,5.492,0,0,2,4,44,0,0,0,4,40,216,DIDI HIRSCH PSYCHIATRIC SERVICE,12.375,7.689,0,0,0,10,22,0,0,0,10,20,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",8.838,5.492,0,0,1,6,27,0,0,0,6,26,130,"CRI-HELP, INC.",12.559,7.804,0,0,0,18,90,0,0,0,20,90,216,DIDI HIRSCH PSYCHIATRIC SERVICE,12.375,7.689,0,0,0,9,71,0,0,0,9,70,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",8.838,5.492,0,0,1,1,11,0,0,0,1,11
4998,101400,1014.00,67915323.05888298,42668.928985777464,34.24285698502715,-118.29417342516513,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.2,4.474,0,0,6,30,224,0,0,2,58,220,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.839,6.114,0,0,2,8,22,0,0,0,10,22,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.839,6.114,0,0,1,5,33,0,0,0,10,33,130,"CRI-HELP, INC.",10.59,6.58,0,0,0,6,118,0,0,0,26,116,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.839,6.114,0,0,2,16,152,0,0,0,40,150,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.2,4.474,0,0,2,8,52,0,0,2,10,52,130,"CRI-HELP, INC.",10.59,6.58,0,0,0,4,30,0,0,0,12,30,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.2,4.474,0,0,2,4,31,0,0,1,9,31,130,"CRI-HELP, INC.",10.59,6.58,0,0,0,4,94,0,0,0,22,92,130,"CRI-HELP, INC.",10.59,6.58,0,0,0,6,75,0,0,0,14,75,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.2,4.474,0,0,1,1,13,0,0,1,2,13
4999,102103,1021.03,12770232.65694983,16349.935001961798,34.225084103655185,-118.35420017182696,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",4.195,2.607,0,2,26,52,240,0,2,12,54,238,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",4.195,2.607,0,2,8,12,24,0,2,4,12,24,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",4.195,2.607,0,1,5,8,34,0,1,2,8,34,130,"CRI-HELP, INC.",6.086,3.782,0,0,6,12,122,0,0,2,12,122,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",4.195,2.607,0,2,14,30,158,0,2,6,30,158,161,"I-ADARP, INC.",5.258,3.267,0,0,8,14,54,0,0,4,16,54,130,"CRI-HELP, INC.",6.086,3.782,0,0,4,6,34,0,0,2,6,34,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",4.195,2.607,0,1,3,11,32,0,1,2,11,32,130,"CRI-HELP, INC.",6.086,3.782,0,0,4,8,98,0,0,2,8,98,130,"CRI-HELP, INC.",6.086,3.782,0,0,6,12,79,0,0,3,12,79,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.741,3.567,0,0,1,3,14,0,0,1,3,14
5000,102104,1021.04,17851202.53053955,27555.466359485115,34.21619219522854,-118.34541028940349,161,"I-ADARP, INC.",5.085,3.16,0,0,20,54,252,0,0,12,56,240,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.162,3.207,0,0,8,12,24,0,0,4,12,24,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.162,3.207,0,0,4,8,37,0,0,2,9,35,130,"CRI-HELP, INC.",5.442,3.382,0,0,2,12,132,0,0,2,14,122,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.162,3.207,0,0,10,30,168,0,0,6,32,158,161,"I-ADARP, INC.",5.085,3.16,0,0,8,16,56,0,0,4,16,56,130,"CRI-HELP, INC.",5.442,3.382,0,0,2,6,36,0,0,2,8,34,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.162,3.207,0,0,2,11,35,0,0,2,11,33,130,"CRI-HELP, INC.",5.442,3.382,0,0,2,8,104,0,0,2,10,98,130,"CRI-HELP, INC.",5.442,3.382,0,0,4,12,86,0,0,3,14,80,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",6.849,4.256,0,0,1,3,14,0,0,1,3,14
5001,102105,1021.05,5303654.196848134,9962.251126453337,34.209880817279114,-118.34927747083388,161,"I-ADARP, INC.",4.372,2.717,0,6,26,56,260,0,4,12,58,246,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.056,3.142,0,0,8,12,24,0,0,4,12,24,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.056,3.142,0,0,5,9,40,0,0,2,10,35,130,"CRI-HELP, INC.",4.656,2.893,0,2,4,14,140,0,2,2,16,130,130,"CRI-HELP, INC.",4.656,2.893,0,2,14,32,176,0,2,6,34,166,161,"I-ADARP, INC.",4.372,2.717,0,2,8,16,58,0,2,4,16,54,130,"CRI-HELP, INC.",4.656,2.893,0,2,4,8,36,0,2,2,10,36,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.056,3.142,0,0,4,11,37,0,0,2,12,34,130,"CRI-HELP, INC.",4.656,2.893,0,2,2,10,106,0,2,2,12,104,130,"CRI-HELP, INC.",4.656,2.893,0,2,6,14,92,0,2,3,14,83,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",7.476,4.646,0,0,1,3,14,0,0,1,3,14
5002,102107,1021.07,139083341.10495937,63679.43426946343,34.240478174871534,-118.33802050333547,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.526,2.812,0,2,14,46,238,0,2,6,52,230,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.836,3.626,0,0,4,12,24,0,0,2,12,24,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.836,3.626,0,0,2,8,35,0,0,1,8,33,130,"CRI-HELP, INC.",8.187,5.087,0,0,4,8,122,0,0,0,12,120,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.836,3.626,0,0,8,26,158,0,0,2,30,156,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.526,2.812,0,2,4,12,56,0,2,4,14,52,130,"CRI-HELP, INC.",8.187,5.087,0,0,2,6,34,0,0,0,6,32,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.526,2.812,0,1,2,9,33,0,1,2,11,31,130,"CRI-HELP, INC.",8.187,5.087,0,0,4,4,98,0,0,0,8,96,130,"CRI-HELP, INC.",8.187,5.087,0,0,3,8,80,0,0,0,12,78,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.526,2.812,0,1,1,2,14,0,1,1,3,14
5003,103101,1031.01,21846686.86044897,25422.127636915837,34.27324561906331,-118.30789961619375,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.909,3.05,0,2,4,22,144,0,0,2,30,130,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.821,6.102,0,0,2,6,18,0,0,0,10,18,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.821,6.102,0,0,1,3,28,0,0,0,5,27,257,SAN FERNANDO RECOVERY CENTER,11.144,6.925,0,0,0,4,60,0,0,0,4,52,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.821,6.102,0,0,2,10,84,0,0,0,14,76,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.909,3.05,0,2,2,8,42,0,0,2,10,38,130,"CRI-HELP, INC.",12.66,7.867,0,0,0,2,26,0,0,0,2,26,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.909,3.05,0,1,2,2,27,0,0,1,3,24,257,SAN FERNANDO RECOVERY CENTER,11.144,6.925,0,0,0,4,46,0,0,0,4,40,130,"CRI-HELP, INC.",12.66,7.867,0,0,0,4,39,0,0,0,4,37,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.909,3.05,0,1,1,1,10,0,0,1,2,9
5004,103102,1031.02,13357089.84417399,16530.394260844285,34.26338921375632,-118.30740047633623,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.15,3.2,0,0,4,28,216,0,0,2,40,172,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.35,5.81,0,0,2,8,22,0,0,0,10,18,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.35,5.81,0,0,1,4,33,0,0,0,7,29,257,SAN FERNANDO RECOVERY CENTER,11.404,7.086,0,0,0,4,116,0,0,0,8,86,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",9.35,5.81,0,0,2,12,148,0,0,0,22,110,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.15,3.2,0,0,2,10,50,0,0,2,10,44,130,"CRI-HELP, INC.",11.722,7.284,0,0,0,2,30,0,0,0,6,28,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.15,3.2,0,0,2,3,31,0,0,1,7,27,257,SAN FERNANDO RECOVERY CENTER,11.404,7.086,0,0,0,4,92,0,0,0,4,68,130,"CRI-HELP, INC.",11.722,7.284,0,0,0,4,75,0,0,0,8,53,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.15,3.2,0,0,1,2,13,0,0,1,2,10
5005,103201,1032.01,21039344.777620792,18231.16937560696,34.265649517994774,-118.32363889040043,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",3.652,2.269,0,2,8,34,186,0,2,2,40,140,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.146,5.062,0,0,2,8,24,0,0,0,12,18,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.146,5.062,0,0,1,5,32,0,0,0,7,27,257,SAN FERNANDO RECOVERY CENTER,9.896,6.149,0,0,2,6,88,0,0,0,6,60,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.146,5.062,0,0,4,16,118,0,0,0,22,84,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",3.652,2.269,0,2,2,10,50,0,2,2,10,38,130,"CRI-HELP, INC.",11.278,7.008,0,0,0,4,30,0,0,0,4,26,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",3.652,2.269,0,1,2,5,29,0,1,1,7,25,257,SAN FERNANDO RECOVERY CENTER,9.896,6.149,0,0,2,4,70,0,0,0,4,48,130,"CRI-HELP, INC.",11.278,7.008,0,0,0,6,55,0,0,0,6,36,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",3.652,2.269,0,1,1,2,12,0,1,1,2,10
5006,103202,1032.02,50999127.734168455,45719.36855244339,34.27494055120328,-118.3435117791042,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",1.632,1.014,0,2,8,34,148,0,2,8,38,118,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",7.339,4.56,0,0,2,8,20,0,0,2,10,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",7.339,4.56,0,0,1,5,28,0,0,1,6,23,257,SAN FERNANDO RECOVERY CENTER,7.886,4.9,0,0,2,6,60,0,0,2,6,38,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",7.339,4.56,0,0,4,18,88,0,0,4,20,64,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",1.632,1.014,0,2,2,10,42,0,2,2,12,38,130,"CRI-HELP, INC.",11.705,7.273,0,0,0,4,28,0,0,0,4,28,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",1.632,1.014,0,1,2,6,28,0,1,2,7,26,257,SAN FERNANDO RECOVERY CENTER,7.886,4.9,0,0,2,4,48,0,0,2,4,34,217,EL PROYECTO DEL BARRIO,10.705,6.652,0,0,0,6,39,0,0,0,6,28,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",1.632,1.014,0,1,1,2,12,0,1,1,2,9
5007,103300,1033.00,66105765.827515356,37338.68631657402,34.257383503421316,-118.35549072188324,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.177,1.353,0,2,20,38,180,0,2,8,42,156,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.211,3.238,0,0,6,10,20,0,0,2,12,20,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.211,3.238,0,0,3,6,29,0,0,1,7,29,257,SAN FERNANDO RECOVERY CENTER,7.478,4.647,0,0,4,6,80,0,0,2,6,64,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",5.211,3.238,0,0,10,20,108,0,0,4,22,92,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.177,1.353,0,2,8,12,50,0,2,2,12,44,130,"CRI-HELP, INC.",9.581,5.953,0,0,2,4,32,0,0,0,4,30,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.177,1.353,0,1,2,7,31,0,1,2,7,29,257,SAN FERNANDO RECOVERY CENTER,7.478,4.647,0,0,4,4,66,0,0,2,4,50,217,EL PROYECTO DEL BARRIO,9.013,5.601,0,0,4,6,52,0,0,0,6,43,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.177,1.353,0,1,1,2,12,0,1,1,2,10
5008,103401,1034.01,15085817.311547711,20468.599514876587,34.253973640273344,-118.3183969299367,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.656,2.893,0,2,6,40,222,0,2,4,46,186,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.01,4.977,0,0,2,10,24,0,0,2,12,22,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.01,4.977,0,0,1,7,34,0,0,1,8,31,130,"CRI-HELP, INC.",10.315,6.409,0,0,0,8,118,0,0,0,8,92,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.01,4.977,0,0,2,22,152,0,0,2,26,122,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.656,2.893,0,2,4,10,52,0,2,2,12,46,130,"CRI-HELP, INC.",10.315,6.409,0,0,0,6,30,0,0,0,6,30,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.656,2.893,0,1,2,7,31,0,1,2,9,29,130,"CRI-HELP, INC.",10.315,6.409,0,0,0,4,94,0,0,0,4,74,130,"CRI-HELP, INC.",10.315,6.409,0,0,0,8,76,0,0,0,8,55,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",4.656,2.893,0,1,1,2,13,0,1,1,2,10
5009,103402,1034.02,11829767.980315603,14650.197628715025,34.25594541798619,-118.30836046993647,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.361,3.331,0,0,4,34,220,0,0,2,40,182,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.95,5.562,0,0,2,10,22,0,0,0,10,22,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.95,5.562,0,0,1,6,33,0,0,0,7,31,130,"CRI-HELP, INC.",10.967,6.815,0,0,0,6,118,0,0,0,8,90,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",8.95,5.562,0,0,2,18,150,0,0,0,22,120,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.361,3.331,0,0,2,10,52,0,0,2,10,46,130,"CRI-HELP, INC.",10.967,6.815,0,0,0,4,30,0,0,0,6,30,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.361,3.331,0,0,2,5,31,0,0,1,7,29,130,"CRI-HELP, INC.",10.967,6.815,0,0,0,4,94,0,0,0,4,72,130,"CRI-HELP, INC.",10.967,6.815,0,0,0,6,75,0,0,0,8,55,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",5.361,3.331,0,0,1,2,13,0,0,1,2,11
5010,104103,1041.03,10215165.991945658,13241.192064088014,34.28210415936999,-118.39258860669398,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.954,1.836,0,6,16,42,92,0,6,10,44,90,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",6.047,3.758,0,0,4,10,18,0,0,2,12,18,178,"NARCOTIC ADDICTION TREATMENT AGENCY, INC.",6.047,3.758,0,0,2,7,18,0,0,1,8,17,257,SAN FERNANDO RECOVERY CENTER,3.308,2.056,0,2,2,6,20,0,2,2,6,18,257,SAN FERNANDO RECOVERY CENTER,3.308,2.056,0,2,6,20,42,0,2,4,22,40,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.954,1.836,0,2,8,14,34,0,2,4,14,34,190,"THE TEEN PROJECT, INC., D.B.A. FREEHAB",12.046,7.485,0,0,0,6,24,0,0,0,6,22,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.954,1.836,0,1,3,8,22,0,1,2,8,21,257,SAN FERNANDO RECOVERY CENTER,3.308,2.056,0,2,2,4,16,0,2,2,4,14,217,EL PROYECTO DEL BARRIO,7.35,4.567,0,0,1,7,23,0,0,1,7,23,210,"PHOENIX HOUSES OF LOS ANGELES, INC.",2.954,1.836,0,1,2,2,8,0,1,1,2,8
